Date,DJI
2015-04-01,
2015-05-01,18010.679688
2015-06-01,17619.509766
2015-07-01,17689.859375
2015-08-01,16528.029297
2015-09-01,16284.700195
2015-10-01,17663.539063
2015-11-01,17719.919922
2015-12-01,17425.029297
2016-01-01,16466.300781
2016-02-01,16516.5
2016-03-01,17685.089844
2016-04-01,17773.640625
2016-05-01,17787.199219
2016-06-01,17929.990234
2016-07-01,18432.240234
2016-08-01,18400.880859
2016-09-01,18308.150391
2016-10-01,18142.419922
2016-11-01,19123.580078
2016-12-01,19762.599609
2017-01-01,19864.089844
2017-02-01,20812.240234
2017-03-01,20663.220703
2017-04-01,20940.509766
2017-05-01,21008.650391
2017-06-01,21349.630859
2017-07-01,21891.119141
2017-08-01,21948.099609
2017-09-01,22405.089844
2017-10-01,23377.240234
2017-11-01,24272.349609
2017-12-01,24719.220703
2018-01-01,26149.390625
2018-02-01,25029.199219
2018-03-01,24103.109375
2018-04-01,24163.150391
2018-05-01,24831.169922
